Blender 4.5.2 LTS (hash ab25eae04993 built 2025-08-20 02:20:52)
Read blend: "C:\Users\SM - Dan\Documents\GitHub\slingmods-three-wheel-tour-rebuild\assets\blender\harbor\harbor.blend"
Fra:1 Mem:259.57M (Peak 259.57M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_plank_module_0_7
Fra:1 Mem:259.58M (Peak 259.58M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_pile_0_7_-1
Fra:1 Mem:259.58M (Peak 259.58M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_plank_module_0_8
Fra:1 Mem:259.58M (Peak 259.58M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Mooring_bollard_0_-36
Fra:1 Mem:259.58M (Peak 259.58M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Mooring_crossbar_0_-36
Fra:1 Mem:259.59M (Peak 259.59M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Mooring_bollard_0_-54
Fra:1 Mem:259.59M (Peak 259.59M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Mooring_crossbar_0_-54
Fra:1 Mem:259.60M (Peak 259.60M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Mooring_bollard_0_-72
Fra:1 Mem:259.60M (Peak 259.60M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Mooring_crossbar_0_-72
Fra:1 Mem:259.60M (Peak 259.60M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_plank_module_1_0
Fra:1 Mem:259.60M (Peak 259.60M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_pile_1_0_-1
Fra:1 Mem:259.61M (Peak 259.61M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_plank_module_1_1
Fra:1 Mem:259.61M (Peak 259.61M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_pile_1_1_-1
Fra:1 Mem:259.61M (Peak 259.61M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_pile_1_1_1
Fra:1 Mem:259.61M (Peak 259.61M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_plank_module_1_2
Fra:1 Mem:259.62M (Peak 259.62M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_pile_1_2_-1
Fra:1 Mem:259.62M (Peak 259.62M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_pile_1_2_1
