Blender 4.5.2 LTS (hash ab25eae04993 built 2025-08-20 02:20:52)
Read blend: "C:\Users\SM - Dan\Documents\GitHub\slingmods-three-wheel-tour-rebuild\assets\blender\vehicles\slingshot-p01.blend"
Fra:1 Mem:32.99M (Peak 33.00M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_damper_left
Fra:1 Mem:33.00M (Peak 33.00M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_bucket_undertray_left
Fra:1 Mem:33.00M (Peak 33.00M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hood_central_right
Fra:1 Mem:33.00M (Peak 33.00M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | sculpted_front_fender_right
Fra:1 Mem:33.01M (Peak 33.01M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | nose_cheek_right
Fra:1 Mem:33.04M (Peak 33.04M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | lamp_recess_right
Fra:1 Mem:33.04M (Peak 33.04M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | lights_head_upper_right
Fra:1 Mem:33.05M (Peak 33.05M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | lower_vent_right
Fra:1 Mem:33.07M (Peak 33.07M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | lights_head_diagonal_right
Fra:1 Mem:33.07M (Peak 33.07M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | vent_vane_right
Fra:1 Mem:33.08M (Peak 33.08M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | vent_vane_right.001
